ID,Phase,Workstream,Task,Priority,Owner,Planned Start,Target End,Status,% Complete,Dependency,Acceptance Criteria,Next Action,Notes,,
A1,Prototype,Foundation,Verify backend runs and DB schema is deployed (prisma db push, node -v, health check),Critical,Backend owner,,,Not Started,0,,GET /health returns ok; all tables exist,Run health check and prisma db push,Auto-group tables are pending deployment
A2,Prototype,Foundation,Create dev/staging/prod environment matrix and .env templates; remove committed secrets,Critical,Backend owner,,,Not Started,0,A1,No secrets in git; each env documented,Create .env templates and secret store,,,
A3,Prototype,Foundation,Remove Firebase vs JWT auth duplication - pick single source of truth (recommend Express JWT),Critical,Tech lead,,,Not Started,0,A1,Decision recorded; duplicate auth removed or intentionally integrated,Review current Firebase/JWT overlap,Current Flutter login uses backend JWT,,
A4,Prototype,Config,Move hard-coded API base URL into build-time/environment configuration,Critical,Flutter owner,,,Not Started,0,A1,Android emulator/device/web/release URLs work without source edits,Introduce config class,Hard-coded LAN IP currently exists,,
A5,Prototype,Models,Create RideModel BookingModel ReviewModel DTOs with safe JSON parsing,Critical,Flutter owner,,,Not Started,0,A4,Models cover all API fields and null/error cases,Add model files and unit tests,,,
A6,Prototype,Services,Implement RideService: search detail offer my-rides status cancel,Critical,Flutter owner,,,Not Started,0,A5,All /api/rides endpoints reachable through typed methods,Add service methods,,,
A7,Prototype,Services,Implement BookingService: request list driver-requests respond cancel,Critical,Flutter owner,,,Not Started,0,A5,All /api/bookings endpoints reachable through typed methods,Add service methods,,,
A8,Prototype,UI,Build Find Rides screen with origin destination date seats vehicle filters,Critical,Flutter owner,,,Not Started,0,A6,Search returns live API results with loading/empty/error states,Implement screen,,,
A9,Prototype,UI,Build Ride Details screen and booking request form,Critical,Flutter owner,,,Not Started,0,"A7,A8",Passenger can inspect ride then submit a valid request,Implement detail and form,,,
A10,Prototype,UI,Build Offer Ride form with capacity route time vehicle notes,Critical,Flutter owner,,,Not Started,0,A6,Driver can create a validated ride and see it in My Rides,Implement form,,,
A11,Prototype,UI,Build My Rides with driver and passenger views,Critical,Flutter owner,,,Not Started,0,"A6,A7",User sees live offered rides and requested/accepted bookings,Implement list states,,,
A12,Prototype,UI,Build driver booking-request queue with accept/reject confirmation,Critical,Flutter owner,,,Not Started,0,A11,Driver response updates seat count and passenger status visibly,Implement queue,,,
A13,Prototype,UI,Connect dashboard cards active ride and nearby rides to real API data,Critical,Flutter owner,,,Not Started,0,"A8,A11",No hard-coded rides or fixed active-ride flag remain,Replace dashboard mocks,,,
A14,Prototype,UX,Add cancellation and status-change confirmation/error flows,High,Flutter owner,,,Not Started,0,A11,Users cannot accidentally cancel; failures have recovery action,Add dialogs and messages,,,
A15,Prototype,Testing,Prototype test pass - register/login/offer/search/book/accept lifecycle works on device,Critical,QA owner,,,Not Started,0,"A12,A13,A14",Whole flow passes on Android emulator and physical device,Execute end-to-end pass,,,
B1,Refine,Navigation,Replace bottom-nav state toggle with routes (Home Rides Offer Alerts Profile),High,Flutter owner,,,Not Started,0,"A10,A8",Every tab opens a usable destination and preserves expected state,Wire navigation shell,,,
B2,Refine,Profile,Build profile view and edit profile form,High,Flutter owner,,,Not Started,0,A3,Profile reads and updates /api/users/profile with validation,Implement profile UI,,,
